PMID,SRA_IDs,SRP_ERP_IDs
16752411,,
16752421,,
16757216,,
16755550,,
16757721,,
16760122,,
16761017,,
16762635,,
16763281,,
16762839,,
16763792,,
16766261,,
16767486,,
16767086,,
16772446,,
16777992,,
16778179,,
16778214,,
16778224,,
16779822,,
16781865,,
16785067,,
16785638,,
16785645,,
16785646,,
16787133,,
16787682,,
16788754,,
16790333,,
16800712,,
16798122,,
16801294,,
16802326,,
16818648,,
16818701,,
16818852,,
16822820,,
16822843,,
16822846,,
16825284,,
16827569,,
16829574,,
16829212,,
16830153,,
16830322,,
16832045,,
16835332,,
16835967,,
16837551,,
16838179,,
16840727,,
16840723,,
16843263,1371554; 1975449; 292665; 292666; 292667; 292668; 292669; 292670; 292671; 292672; 292673; 770547,SRP017546
16843264,,
16844080,,
16845661,,
16846475,,
16849436,,
16849543,,
16847283,,
16849757,,
16853163,,
16854078,,
16855390,,
16856041,,
16857784,,
16857987,,
16858539,,
16864055,,
16864058,,
16868089,,
16869825,,
16870729,,
16876893,,
16877703,,
16880200,,
16877737,,
16880944,,
16882745,,
16884331,,
16885219,,
16888133,,
16890678,,
16891676,,
16894523,,
16894031,,
16894525,,
16895328,,
16896061,,
16899610,,
16899616,,
16899615,,
16899629,,
16900523,,
16901351,,
16909426,,
16912277,,
16914727,,
16914582,,
16916647,,
16921040,,
16921049,,
16921476,,
16921041,,
16921513,,
16924124,,
16926177,,
16927306,,
16927423,,
16927347,,
16929320,,
16931588,,
16931950,,
16934392,,
16936728,,
16936779,,
16939197,,
16941478,,
16940175,,
16943853,,
16942640,,
16944874,,
16946302,,
16947122,,
16950791,,
16951139,109121; 109170; 109171; 109172; 109173; 109174; 109175; 109176; 109177; 109178; 109179; 109180; 109181; 109182; 109183; 109184; 109185; 109186; 109187; 109188; 109189; 109190; 109191; 109192; 109193; 109194; 109195; 109196,SRP005908
16951232,,
16951141,,
16951242,,
16952373,,
16952462,,
16954668,,
16954671,,
16955468,,
16959974,109121; 109170; 109171; 109172; 109173; 109174; 109175; 109176; 109177; 109178; 109179; 109180; 109181; 109182; 109183; 109184; 109185; 109186; 109187; 109188; 109189; 109190; 109191; 109192; 109193; 109194; 109195; 109196,SRP005908
16960150,,
16962497,,
16963563,,
16966261,,
16969076,,
16969820,,
16970325,,
16971082,,
16972304,,
16977682,,
16978205,,
16978908,,
16979575,,
16979902,,
16980695,,
16982644,,
16982846,,
16983336,,
16983508,,
16984600,,
16985253,,
16985580,,
16986123,,
16990815,,
16990853,,
17001523,,
16998237,,
17003373,,
17003396,,
17003776,,
17003856,,
17004113,,
17007558,,
17008694,,
17011944,,
17012836,,
17013897,,
17015834,,
17018283,,
17018589,,
17018616,,
17020976,,
17020993,,
17022818,,
17022927,,
17023574,,
17023575,,
17024118,,
17024109,,
17026586,,
17026799,,
17028091,,
17028292,,
17030953,,
17031456,,
17031787,,
17032503,,
17035650,,
17038525,,
17039503,,
17041638,,
17041887,,
17041903,,
17041919,,
17045087,,
17047194,,
17047150,,
17049026,,
17049078,,
17047643,,
17051610,,
17053987,,
17053092,,
17057737,,
17062627,,
17062684,,
17065590,,
17068150,,
17068186,,
17068207,,
17069021,,
17069796,,
17070363,,
17071577,,
17077100,,
17077355,,
17078057,,
17078209,,
17079484,,
17081040,,
17081044,,
17082181,,
17082323,,
17082593,,
17084620,,
17085127,,
17085387,,
17087942,,
17088567,,
17090521,,
17091482,,
17094249,,
17091330,,
17096327,,
17097719,,
17099194,,
17102616,,
17103044,,
17103251,,
17105175,,
17105441,,
17105798,,
17105813,,
17108124,,
17106238,,
17108134,,
17108138,,
17108143,,
17114652,,
17114945,,
17115055,,
17115111,,
17114345,,
17116802,,
17120198,,
17121881,,
17121882,,
17121939,,
17122632,,
17123658,,
17124324,,
17125912,,
17126312,,
17131334,,
17133405,,
17134134,,
17137333,,
17134697,,
17137347,,
17140260,,
17145182,,
17145400,,
17145828,,
17145836,,
17145854,,
17145883,,
17146615,,
17147984,,
17148774,,
17150101,,
17157028,,
17158541,,
17158870,,
17158952,,
17162017,,
17164332,,
17166268,,
17166656,,
17167175,,
17167137,,
17169636,,
17172833,,
17171692,,
17172860,,
17178880,,
17179232,,
17184721,,
17184908,,
17185024,,
17185368,,
17188801,,
17188166,,
17189404,,
17189962,,
17192038,,
17192048,,
17194187,,
17195088,,
17200208,,
17200355,,
17200948,,
17204482,,
17202313,,
17204608,,
17205511,,
17206280,,
17206849,,
17208939,,
17210687,,
17215517,,
17216036,,
17216531,,
17220478,1371554; 1975449; 292665; 292666; 292667; 292668; 292669; 292670; 292671; 292672; 292673; 770547,SRP017546
17222197,,
17224914,,
17224074,,
17226844,,
17226945,,
17234468,,
17234781,,
17234782,,
17234792,,
17235047,,
17236224,,
17237715,,
17237811,,
17243132,,
17244357,,
17239496,,
17245434,,
17255299,,
17255294,,
17255309,,
17255354,,
17259349,,
17262788,,
17263328,,
17264295,,
17264335,,
17264339,,
17265522,,
17267393,,
17267413,,
